Date : 2021-03-07 22:19:30
Directory : /home/andryh/dev/repos/Zanysound/src
Total : 201 files,  24989 codes, 1242 comments, 2300 blanks, all 28531 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| lib/ytdl/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__/urllib/.github/workflows                                                                                        |          6 |        194 |          0 |         45 |        239 |
| lib/ytdl/react_native_ytdl_test_app                                                                                                                               |         31 |     10,637 |        199 |        167 |     11,003 |
| lib/ytdl/react_native_ytdl_test_app/__tests__                                                                                                                     |          1 |          7 |          4 |          4 |         15 |
| lib/ytdl/react_native_ytdl_test_app/android                                                                                                                       |         13 |        372 |        162 |         92 |        626 |
| lib/ytdl/react_native_ytdl_test_app/android/app                                                                                                                   |          8 |        256 |        138 |         53 |        447 |
| lib/ytdl/react_native_ytdl_test_app/android/app/src                                                                                                               |          7 |        164 |         27 |         30 |        221 |
| lib/ytdl/react_native_ytdl_test_app/android/app/src/debug                                                                                                         |          2 |         65 |          8 |          9 |         82 |
| lib/ytdl/react_native_ytdl_test_app/android/app/src/debug/java                                                                                                    |          1 |         59 |          8 |          6 |         73 |
| lib/ytdl/react_native_ytdl_test_app/android/app/src/debug/java/com                                                                                                |          1 |         59 |          8 |          6 |         73 |
| lib/ytdl/react_native_ytdl_test_app/android/app/src/debug/java/com/react_native_ytdl_test_app                                                                     |          1 |         59 |          8 |          6 |         73 |
| lib/ytdl/react_native_ytdl_test_app/android/app/src/main                                                                                                          |          5 |         99 |         19 |         21 |        139 |
| lib/ytdl/react_native_ytdl_test_app/android/app/src/main/java                                                                                                     |          2 |         67 |         17 |         13 |         97 |
| lib/ytdl/react_native_ytdl_test_app/android/app/src/main/java/com                                                                                                 |          2 |         67 |         17 |         13 |         97 |
| lib/ytdl/react_native_ytdl_test_app/android/app/src/main/java/com/react_native_ytdl_test_app                                                                      |          2 |         67 |         17 |         13 |         97 |
| lib/ytdl/react_native_ytdl_test_app/android/app/src/main/res                                                                                                      |          2 |          8 |          2 |          4 |         14 |
| lib/ytdl/react_native_ytdl_test_app/android/app/src/main/res/values                                                                                               |          2 |          8 |          2 |          4 |         14 |
| lib/ytdl/react_native_ytdl_test_app/android/gradle                                                                                                                |          1 |          5 |          0 |          1 |          6 |
| lib/ytdl/react_native_ytdl_test_app/android/gradle/wrapper                                                                                                        |          1 |          5 |          0 |          1 |          6 |
| lib/ytdl/react_native_ytdl_test_app/ios                                                                                                                           |          7 |        197 |          0 |         35 |        232 |
| lib/ytdl/react_native_ytdl_test_app/ios/react_native_ytdl_test_app                                                                                                |          6 |        146 |          0 |         20 |        166 |
| lib/ytdl/react_native_ytdl_test_app/ios/react_native_ytdl_test_app/Base.lproj                                                                                     |          1 |         42 |          0 |          1 |         43 |
| lib/ytdl/react_native_ytdl_test_app/ios/react_native_ytdl_test_app/Images.xcassets                                                                                |          2 |         44 |          0 |          1 |         45 |
| lib/ytdl/react_native_ytdl_test_app/ios/react_native_ytdl_test_app/Images.xcassets/AppIcon.appiconset                                                             |          1 |         38 |          0 |          0 |         38 |
| lib/ytdl/react_native_ytdl_test_app/ios/react_native_ytdl_test_appTests                                                                                           |          1 |         51 |          0 |         15 |         66 |
| misc                                                                                                                                                              |         11 |        627 |         21 |        141 |        789 |
| models                                                                                                                                                            |          8 |        326 |          0 |         59 |        385 |
| storage                                                                                                                                                           |          1 |         11 |         10 |          7 |         28 |
| styles                                                                                                                                                            |          4 |         49 |         14 |         11 |         74 |
| utils                                                                                                                                                             |         30 |        724 |         19 |        167 |        910 |
| utils/api                                                                                                                                                         |          8 |        275 |          4 |         59 |        338 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                                                          | language         | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /home/andryh/dev/repos/Zanysound/src/api/DeezerApi.js                                                                                                          | JavaScript       |        104 |          0 |         21 |        125 |
| /home/andryh/dev/repos/Zanysound/src/auth/DeezerAuth.js                                                                                                        | JavaScript       |         95 |          1 |         22 |        118 |
| /home/andryh/dev/repos/Zanysound/src/components/AddToPlaylistButton.js                                                                                         | JavaScript       |         35 |          0 |          5 |         40 |
| /home/andryh/dev/repos/Zanysound/src/components/AddToPlaylistModal.js                                                                                          | JavaScript       |        168 |          1 |         15 |        184 |
| /home/andryh/dev/repos/Zanysound/src/components/AlbumCover.js                                                                                                  | JavaScript       |         15 |          0 |          3 |         18 |
| /home/andryh/dev/repos/Zanysound/src/components/Button.js                                                                                                      | JavaScript       |          8 |          0 |          3 |         11 |
| /home/andryh/dev/repos/Zanysound/src/components/ConfirmationModal.js                                                                                           | JavaScript       |         60 |          0 |          9 |         69 |
| /home/andryh/dev/repos/Zanysound/src/components/Cover.js                                                                                                       | JavaScript       |        161 |          0 |         16 |        177 |
| /home/andryh/dev/repos/Zanysound/src/components/CustomText.js                                                                                                  | JavaScript       |         53 |          0 |          5 |         58 |
| /home/andryh/dev/repos/Zanysound/src/components/Icon.js                                                                                                        | JavaScript       |         80 |          1 |          9 |         90 |
| /home/andryh/dev/repos/Zanysound/src/components/LikeButton.js                                                                                                  | JavaScript       |         37 |          0 |          5 |         42 |
| /home/andryh/dev/repos/Zanysound/src/components/LoadingIndicator.js                                                                                            | JavaScript       |         31 |          0 |          4 |         35 |
| /home/andryh/dev/repos/Zanysound/src/components/Modal.js                                                                                                       | JavaScript       |         80 |          0 |          7 |         87 |
| /home/andryh/dev/repos/Zanysound/src/components/ModalWindowSystem.js                                                                                           | JavaScript       |         46 |          4 |          9 |         59 |
| /home/andryh/dev/repos/Zanysound/src/components/Navigation.js                                                                                                  | JavaScript       |         65 |          2 |          7 |         74 |
| /home/andryh/dev/repos/Zanysound/src/components/NewPlaylistButtonCover.js                                                                                      | JavaScript       |         30 |          0 |          4 |         34 |
| /home/andryh/dev/repos/Zanysound/src/components/NewPlaylistModal.js                                                                                            | JavaScript       |        119 |          0 |         14 |        133 |
| /home/andryh/dev/repos/Zanysound/src/components/OptionList/OptionList.js                                                                                       | JavaScript       |         18 |          0 |          4 |         22 |
| /home/andryh/dev/repos/Zanysound/src/components/OptionList/OptionListItem.js                                                                                   | JavaScript       |         36 |          0 |          4 |         40 |
| /home/andryh/dev/repos/Zanysound/src/components/OptionList/index.js                                                                                            | JavaScript       |          3 |          0 |          2 |          5 |
| /home/andryh/dev/repos/Zanysound/src/components/Player/FullScreenPlayer.js                                                                                     | JavaScript       |        218 |          3 |         10 |        231 |
| /home/andryh/dev/repos/Zanysound/src/components/Player/MiniPlayer.js                                                                                           | JavaScript       |        184 |          0 |         14 |        198 |
| /home/andryh/dev/repos/Zanysound/src/components/Player/Player.js                                                                                               | JavaScript       |        203 |          6 |         28 |        237 |
| /home/andryh/dev/repos/Zanysound/src/components/Player/PlayerProgressBar.js                                                                                    | JavaScript       |        147 |          1 |         11 |        159 |
| /home/andryh/dev/repos/Zanysound/src/components/Player/index.js                                                                                                | JavaScript       |          2 |          0 |          1 |          3 |
| /home/andryh/dev/repos/Zanysound/src/components/PlayerPlaylistContainer/PlayerPlaylistContainerBG.js                                                           | JavaScript       |         35 |          8 |          9 |         52 |
| /home/andryh/dev/repos/Zanysound/src/components/PlayerPlaylistContainer/index.js                                                                               | JavaScript       |        130 |         19 |         21 |        170 |
| /home/andryh/dev/repos/Zanysound/src/components/PlayerUI/PlayerUI.js                                                                                           | JavaScript       |        165 |          0 |         11 |        176 |
| /home/andryh/dev/repos/Zanysound/src/components/PlayerUI/index.js                                                                                              | JavaScript       |          2 |          0 |          2 |          4 |
| /home/andryh/dev/repos/Zanysound/src/components/Playlist.js                                                                                                    | JavaScript       |         59 |          0 |         12 |         71 |
| /home/andryh/dev/repos/Zanysound/src/components/PlaylistCover.js                                                                                               | JavaScript       |         36 |          0 |          7 |         43 |
| /home/andryh/dev/repos/Zanysound/src/components/PlaylistPreview.js                                                                                             | JavaScript       |         73 |          0 |          5 |         78 |
| /home/andryh/dev/repos/Zanysound/src/components/PlaylistRemoveButton.js                                                                                        | JavaScript       |         47 |          0 |          4 |         51 |
| /home/andryh/dev/repos/Zanysound/src/components/Playlists.js                                                                                                   | JavaScript       |        123 |          0 |         16 |        139 |
| /home/andryh/dev/repos/Zanysound/src/components/ScreenPlaceholder.js                                                                                           | JavaScript       |         30 |          0 |          3 |         33 |
| /home/andryh/dev/repos/Zanysound/src/components/Song/index.js                                                                                                  | JavaScript       |        237 |          1 |         29 |        267 |
| /home/andryh/dev/repos/Zanysound/src/components/SongWithNavigation.js                                                                                          | JavaScript       |          8 |          0 |          3 |         11 |
| /home/andryh/dev/repos/Zanysound/src/components/TrackModalWindow.js                                                                                            | JavaScript       |         68 |          0 |          9 |         77 |
| /home/andryh/dev/repos/Zanysound/src/components/TrackModalWindowButton.js                                                                                      | JavaScript       |         26 |          0 |          4 |         30 |
| /home/andryh/dev/repos/Zanysound/src/components/TrackSearchInput.js                                                                                            | JavaScript       |        107 |          3 |         17 |        127 |
| /home/andryh/dev/repos/Zanysound/src/components/screens/CollectionScreen/CollectionScreen.js                                                                   | JavaScript       |         70 |          0 |          7 |         77 |
| /home/andryh/dev/repos/Zanysound/src/components/screens/CollectionScreen/CollectionScreenHeader.js                                                             | JavaScript       |          5 |          0 |          3 |          8 |
| /home/andryh/dev/repos/Zanysound/src/components/screens/CollectionScreen/index.js                                                                              | JavaScript       |          2 |          0 |          1 |          3 |
| /home/andryh/dev/repos/Zanysound/src/components/screens/FavoritesScreen.js                                                                                     | JavaScript       |         72 |         23 |         18 |        113 |
| /home/andryh/dev/repos/Zanysound/src/components/screens/ProfileScreen.js                                                                                       | JavaScript       |         84 |          2 |         10 |         96 |
| /home/andryh/dev/repos/Zanysound/src/components/screens/RecommendedScreen.js                                                                                   | JavaScript       |         92 |          6 |         17 |        115 |
| /home/andryh/dev/repos/Zanysound/src/components/screens/SearchScreen.js                                                                                        | JavaScript       |        147 |          1 |         15 |        163 |
| /home/andryh/dev/repos/Zanysound/src/consts/URLConsts.js                                                                                                       | JavaScript       |          4 |          0 |          2 |          6 |
| /home/andryh/dev/repos/Zanysound/src/consts/timeContst.js                                                                                                      | JavaScript       |          2 |          0 |          1 |          3 |
| /home/andryh/dev/repos/Zanysound/src/consts/windowSizeConsts.js                                                                                                | JavaScript       |         12 |          0 |          2 |         14 |
| /home/andryh/dev/repos/Zanysound/src/errors/NetworkError.js                                                                                                    | JavaScript       |          7 |          0 |          2 |          9 |
| /home/andryh/dev/repos/Zanysound/src/helpers/FavoriteSongsHelper.js                                                                                            | JavaScript       |        214 |          5 |         49 |        268 |
| /home/andryh/dev/repos/Zanysound/src/helpers/Mp3UrlHelper.js                                                                                                   | JavaScript       |         11 |          1 |          4 |         16 |
| /home/andryh/dev/repos/Zanysound/src/helpers/NetworkConnectionHelper.js                                                                                        | JavaScript       |         50 |          0 |         15 |         65 |
| /home/andryh/dev/repos/Zanysound/src/helpers/PlaylistsHelper.js                                                                                                | JavaScript       |        317 |          3 |         75 |        395 |
| /home/andryh/dev/repos/Zanysound/src/helpers/RecommendedSongsHelper.js                                                                                         | JavaScript       |         85 |          0 |         21 |        106 |
| /home/andryh/dev/repos/Zanysound/src/helpers/SearchHelper.js                                                                                                   | JavaScript       |        105 |          0 |         21 |        126 |
| /home/andryh/dev/repos/Zanysound/src/helpers/TrackCacheHelper.js                                                                                               | JavaScript       |        122 |          0 |         22 |        144 |
| /home/andryh/dev/repos/Zanysound/src/helpers/UserHelper.js                                                                                                     | JavaScript       |         86 |          0 |         19 |        105 |
| /home/andryh/dev/repos/Zanysound/src/helpers/WindowHelper.js                                                                                                   | JavaScript       |         16 |          0 |          6 |         22 |
| /home/andryh/dev/repos/Zanysound/src/helpers/YoutubeHelper.js                                                                                                  | JavaScript       |         94 |          5 |         16 |        115 |
| /home/andryh/dev/repos/Zanysound/src/hooks/useActive.js                                                                                                        | JavaScript       |         24 |          0 |          5 |         29 |
| /home/andryh/dev/repos/Zanysound/src/hooks/useAdaptiveRender.js                                                                                                | JavaScript       |         18 |          0 |          6 |         24 |
| /home/andryh/dev/repos/Zanysound/src/hooks/useEventListener.js                                                                                                 | JavaScript       |         17 |          0 |          3 |         20 |
| /home/andryh/dev/repos/Zanysound/src/hooks/useForceUpdate.js                                                                                                   | JavaScript       |          6 |          0 |          3 |          9 |
| /home/andryh/dev/repos/Zanysound/src/hooks/useHover.js                                                                                                         | JavaScript       |         22 |          0 |          6 |         28 |
| /home/andryh/dev/repos/Zanysound/src/hooks/useInput.js                                                                                                         | JavaScript       |         15 |          0 |          3 |         18 |
| /home/andryh/dev/repos/Zanysound/src/hooks/useStopPropagation.js                                                                                               | JavaScript       |         10 |          0 |          3 |         13 |
| /home/andryh/dev/repos/Zanysound/src/i18n/dictionary.json                                                                                                      | JSON             |        122 |          0 |          1 |        123 |
| /home/andryh/dev/repos/Zanysound/src/i18n/index.js                                                                                                             | JavaScript       |          7 |          0 |          4 |         11 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/README.md                                                                                                        | Markdown         |        111 |          0 |         54 |        165 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/__AUTO_PATCHER__/__REACT_NATIVE_YTDL_CUSTOM_FILES__/README.md                                                    | Markdown         |        111 |          0 |         54 |        165 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/__AUTO_PATCHER__/__REACT_NATIVE_YTDL_CUSTOM_FILES__/index.js                                                     | JavaScript       |          2 |          0 |          1 |          3 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/__AUTO_PATCHER__/__REACT_NATIVE_YTDL_CUSTOM_FILES__/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__/m3u8stream/index.js | JavaScript       |         28 |         11 |          2 |         41 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/__AUTO_PATCHER__/__REACT_NATIVE_YTDL_CUSTOM_FILES__/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__/miniget/index.js    | JavaScript       |         45 |          3 |         11 |         59 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/__AUTO_PATCHER__/__REACT_NATIVE_YTDL_CUSTOM_FILES__/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__/sax/index.js        | JavaScript       |          1 |          0 |          0 |          1 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/__AUTO_PATCHER__/__REACT_NATIVE_YTDL_CUSTOM_FILES__/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__/sax/sax.js          | JavaScript       |      1,368 |         63 |        131 |      1,562 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/__AUTO_PATCHER__/__REACT_NATIVE_YTDL_CUSTOM_FILES__/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__/timers/index.js     | JavaScript       |         10 |          0 |          3 |         13 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/__AUTO_PATCHER__/__REACT_NATIVE_YTDL_CUSTOM_FILES__/lib/index.js                                                 | JavaScript       |         66 |         12 |         19 |         97 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/__AUTO_PATCHER__/jscodeshift_scripts/change_update_warning_transform.js                                          | JavaScript       |         14 |          4 |          7 |         25 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/__AUTO_PATCHER__/jscodeshift_scripts/use_custom_module_implementations_transform.js                              | JavaScript       |         27 |          4 |          9 |         40 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/__AUTO_PATCHER__/shell_scripts/apply_custom_implementations_to_temp_dir.sh                                       | Shell Script     |          6 |          4 |          3 |         13 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/__AUTO_PATCHER__/shell_scripts/clean_temp_dir.sh                                                                 | Shell Script     |          1 |          2 |          2 |          5 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/__AUTO_PATCHER__/shell_scripts/clone_node_ytdl_core_to_temp_dir.sh                                               | Shell Script     |         16 |          2 |          6 |         24 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/__AUTO_PATCHER__/shell_scripts/copy_patches_from_temp_dir_to_project_root.sh                                     | Shell Script     |          1 |          2 |          1 |          4 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/__AUTO_PATCHER__/shell_scripts/copy_patches_from_temp_dir_to_test_app.sh                                         | Shell Script     |          1 |          2 |          1 |          4 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/index.js                                                                                                         | JavaScript       |          2 |          0 |          2 |          4 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__/m3u8stream/index.js                                                     | JavaScript       |         28 |         11 |          2 |         41 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__/miniget/index.js                                                        | JavaScript       |         45 |          3 |         11 |         59 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__/sax/index.js                                                            | JavaScript       |          1 |          0 |          0 |          1 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__/sax/sax.js                                                              | JavaScript       |      1,368 |         63 |        131 |      1,562 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__/timers/index.js                                                         | JavaScript       |         10 |          0 |          3 |         13 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__/urllib/.github/workflows/node-4+.yml                                    | YAML             |         48 |          0 |          9 |         57 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__/urllib/.github/workflows/node-iojs.yml                                  | YAML             |         49 |          0 |         10 |         59 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__/urllib/.github/workflows/node-pretest.yml                               | YAML             |         24 |          0 |          6 |         30 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__/urllib/.github/workflows/node-zero.yml                                  | YAML             |         54 |          0 |         10 |         64 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__/urllib/.github/workflows/rebase.yml                                     | YAML             |         11 |          0 |          5 |         16 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__/urllib/.github/workflows/require-allow-edits.yml                        | YAML             |          8 |          0 |          5 |         13 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__/urllib/.travis.yml                                                      | YAML             |          8 |          0 |          1 |          9 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__/urllib/.zuul.yml                                                        | YAML             |         16 |          0 |          1 |         17 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__/urllib/README.md                                                        | Markdown         |         69 |          0 |         40 |        109 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__/urllib/package.json                                                     | JSON             |         39 |          0 |          1 |         40 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__/urllib/test.js                                                          | JavaScript       |      1,764 |        165 |        129 |      2,058 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__/urllib/url.js                                                           | JavaScript       |        485 |        209 |         81 |        775 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/lib/__REACT_NATIVE_YTDL_CUSTOM_MODULES__/urllib/util.js                                                          | JavaScript       |         15 |          0 |          2 |         17 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/lib/cache.js                                                                                                     | JavaScript       |         52 |          1 |          2 |         55 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/lib/format-utils.js                                                                                              | JavaScript       |        157 |         41 |         33 |        231 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/lib/formats.js                                                                                                   | JavaScript       |        446 |          3 |         76 |        525 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/lib/index.js                                                                                                     | JavaScript       |         66 |         12 |         19 |         97 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/lib/info-extras.js                                                                                               | JavaScript       |        207 |         41 |         20 |        268 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/lib/info.js                                                                                                      | JavaScript       |        480 |         82 |         44 |        606 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/lib/sig.js                                                                                                       | JavaScript       |        166 |         61 |         26 |        253 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/lib/url-utils.js                                                                                                 | JavaScript       |         45 |         38 |          9 |         92 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/lib/utils.js                                                                                                     | JavaScript       |         95 |         44 |         20 |        159 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/package-lock.json                                                                                                | JSON             |         27 |          0 |          1 |         28 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/package.json                                                                                                     | JSON             |         40 |          0 |          1 |         41 |
| /home/andryh/dev/repos/Zanysound/src/lib/ytdl/react_native_ytdl_test_app/.eslintrc.js                                                                          | JavaScript       |          4 |          0 |          1 |          5 |
